"filename", "language", "JSON", "Java", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\.DataLogTool\datalogtool.json", "JSON", 5, 0, 0, 0, 1, 6
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\.pathplanner\settings.json", "JSON with Comments", 0, 0, 24, 0, 0, 24
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\simgui.json", "JSON", 60, 0, 0, 0, 0, 60
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel0\Motor.java", "Java", 0, 1, 0, 0, 0, 1
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\com\compLevel1\Turner.java", "Java", 0, 0, 0, 0, 1, 1
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\Robot.java", "Java", 0, 2, 0, 0, 2, 4
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\RobotContainer.java", "Java", 0, 44, 0, 4, 2, 50
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\BasicCommands.java", "Java", 0, -262, 0, 0, -35, -297
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\BasicScoringCommands.java", "Java", 0, -705, 0, 0, -95, -800
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\DriveCommands.java", "Java", 0, -193, 0, 0, -24, -217
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\MovingRangedShot.java", "Java", 0, -185, 0, 0, -22, -207
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\PickupCommands.java", "Java", 0, -156, 0, 0, -33, -189
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\StationaryRangedShot.java", "Java", 0, -164, 0, 0, -21, -185
"c:\Users\Nick Armstrong\Desktop\NoteoriousGOAT2024\src\main\java\frc\robot\commandCreators\TelemetryCommands.java", "Java", 0, -106, 0, 0, -16, -122
